APEX.DATEPICKER.VALUE_MUST_BE_ON_OR_BEFORE,Дата #LABEL# більше ніж зазначений максимум %0.,Y
APEX.DATEPICKER.VISUALLY_HIDDEN_EDIT,Візуально приховане редагування,Y
APEX.DATEPICKER.YEAR,Рік,Y
APEX.DATEPICKER_VALUE_GREATER_MAX_DATE,Дата #LABEL# більше ніж зазначений максимум %0.,Y
APEX.DATEPICKER_VALUE_INVALID,Дата #LABEL# не відповідає формату %0.,Y
APEX.DATEPICKER_VALUE_LESS_MIN_DATE,Дата #LABEL# менша ніж зазначений мінімум %0.,Y
APEX.DATEPICKER_VALUE_NOT_BETWEEN_MIN_MAX,Дата #LABEL# поза межами допустимого діапазону від %0 до %1.,Y
APEX.DATEPICKER_VALUE_NOT_IN_YEAR_RANGE,Дата #LABEL# поза межами допустимого діапазону років від %0 до %1.,Y
APEX.DIALOG.CANCEL,Скасувати,Y
APEX.DIALOG.CLOSE,Закрити,Y
APEX.DIALOG.CONFIRMATION,Підтвердження,Y
APEX.DIALOG.HELP,Довідка,Y
APEX.DIALOG.OK,ОК,Y
APEX.DIALOG.SAVE,Застосувати,Y
APEX.DIALOG.TITLE,Заголовок діалогового вікна,Y
APEX.DIALOG.VISUALLY_HIDDEN_TITLE,Візуально прихований заголовок діалогового вікна,Y
APEX.ERROR,Помилка,Y
APEX.ERROR.CALLBACK_FAILED,Під час виконання зворотного виклику оброблювача помилок сталася така помилка: %0,Y
APEX.ERROR.ERROR_PAGE.UNHANDLED_ERROR,Під час формування сторінки помилок сталася така помилка: %0,Y
APEX.ERROR.INTERNAL,Внутрішня помилка,Y
APEX.ERROR.INTERNAL.CONTACT_ADMINISTRATOR,"Зверніться до адміністратора.
Докладна інформація про цей інцидент доступна за ідентифікаційний кодом ""%0"".",Y
APEX.ERROR.ORA-16000,База даних відкрита для доступу тільки на читання.,Y
APEX.ERROR.ORA-28353,ORA-28353: Не вдалося відкрити гаманець. Дані застосунку в даний час недоступні.,Y
APEX.ERROR.PAGE_NOT_AVAILABLE,"На жаль, ця сторінка недоступна",Y
APEX.ERROR.TECHNICAL_INFO,Технічна інформація (доступна тільки для розробників),Y
APEX.ERROR_MESSAGE_HEADING,Повідомлення про помилку,Y
APEX.EXPECTED_FORMAT,Очікуваний формат %0,Y
APEX.FEATURE.ACL.BULK_USER.ALREADY_IN_ACL,Користувач вже є у списку контролю доступу,Y
APEX.FEATURE.ACL.BULK_USER.CREATE_CONFIRM,"Будь ласка, підтвердить додавання наступних %0 користувачів до списку контролю доступу <strong>%1</strong>.",Y
APEX.FEATURE.ACL.BULK_USER.DUPLICATE_USER,Зазначений користувач вже існує,Y
APEX.FEATURE.ACL.BULK_USER.MISSING_AT_SIGN,Адреса електронної пошти має містить знак @.,Y
APEX.FEATURE.ACL.BULK_USER.MISSING_DOT,Адреса електронної пошти має містить принаймні одну крапку,Y
APEX.FEATURE.ACL.BULK_USER.USERNAME_TOO_LONG,Занадто довге ім'я користувача,Y
APEX.FEATURE.ACL.INFO.ACL_ONLY,"Тільки користувачі, що додані до списку контролю доступу, можуть отримати доступ до цього застосунку",Y
APEX.FEATURE.ACL.INFO.ACL_VALUE_INVALID,Несподіване значення налаштування контролю доступу %0,Y
APEX.FEATURE.ACL.INFO.ALL_USERS,Усі автентифіковані користувачі можуть отримати доступ до цього застосунку,Y
APEX.FEATURE.CONFIG.DISABLED,Недоступний,Y
APEX.FEATURE.CONFIG.ENABLED,Доступний,Y
APEX.FEATURE.CONFIG.IS_DISABLED,%0: недоступно,Y
APEX.FEATURE.CONFIG.IS_ENABLED,%0: доступно,Y
APEX.FEATURE.CONFIG.NOT_SUPPORTED,Не підтримується,Y
APEX.FEATURE.CONFIG.OFF,Вимк.,Y
APEX.FEATURE.CONFIG.ON,Увімк.,Y
APEX.FEATURE.TOP_USERS.USERNAME.NOT_IDENTIFIED,не визначено,Y
APEX.FILESIZE.BYTES,Байтів,Y
APEX.FILESIZE.GB,ГБ,Y
APEX.FILESIZE.KB,КБ,Y
APEX.FILESIZE.MB,МБ,Y
APEX.FILE_BROWSE.DOWNLOAD_LINK_TEXT,Завантажити,Y
APEX.FS.ACTIONS_MENU_BUTTON_LABEL,Опції,Y
APEX.FS.ACTIONS_MENU_FILTER,Фільтр,Y
APEX.FS.ACTIONS_MENU_HIDE,Приховати фільтр,Y
APEX.FS.APPLIED_FACET,Застосовано фільтр %0,Y
APEX.FS.BATCH_APPLY,Застосувати,Y
APEX.FS.CHART_BAR,Стовпчаста діаграма,Y
APEX.FS.CHART_OTHERS,Інше,Y
APEX.FS.CHART_PIE,Кругова діаграма,Y
APEX.FS.CHART_TITLE,Діаграма,Y
APEX.FS.CHART_VALUE_LABEL,Кількість,Y
APEX.FS.CLEAR,Очистити,Y
APEX.FS.CLEAR_ALL,Очистити все,Y
APEX.FS.CLEAR_VALUE,Очистити %0,Y
APEX.FS.COLUMN_UNAUTHORIZED,"Стовпець %1, на який посилається фільтр %0, недоступний.",Y
APEX.FS.CONFIG_TITLE,Виберіть фільтри для відображення,Y
APEX.FS.COUNT_RESULTS,Результатів %0,Y
APEX.FS.COUNT_SELECTED,Вибрано %0,Y
APEX.FS.CUR_FILTERS_LM,Поточні фільтри,Y
APEX.FS.FACETED_SEARCH_NEEDS_REGION_QUERY,Фільтр вимагає наявності джерела даних на рівні регіону.,Y
APEX.FS.FACETS_LIST,Список фільтрів,Y
APEX.FS.FACET_VALUE_LIMIT_EXCEEDED,Для фільтру %1 кількість унікальних значень перевищує максимальну дозволену величину (%0).,Y
APEX.FS.FC_TYPE_UNSUPPORTED_FOR_DATE_COLUMNS,Фільтр %0 не підтримується для стовпців типу DATE або TIMESTAMP.,Y
APEX.FS.FILTER,Фільтр %0,Y
APEX.FS.GO,Знайти,Y
APEX.FS.INPUT_CURRENT_LABEL_C,містить %0,Y
APEX.FS.INPUT_CURRENT_LABEL_EQ,дорівнює %0,Y
APEX.FS.INPUT_CURRENT_LABEL_GT,більше ніж %0,Y
APEX.FS.INPUT_CURRENT_LABEL_GTE,більше ніж або дорівнює %0,Y
APEX.FS.INPUT_CURRENT_LABEL_LT,менше ніж %0,Y
APEX.FS.INPUT_CURRENT_LABEL_LTE,менше ніж або дорівнює %0,Y
APEX.FS.INPUT_CURRENT_LABEL_NC,не містить %0,Y
APEX.FS.INPUT_CURRENT_LABEL_NEQ,не равно %0,Y
APEX.FS.INPUT_CURRENT_LABEL_NSTARTS,не починається з %0,Y
APEX.FS.INPUT_CURRENT_LABEL_STARTS,починається з %0,Y
APEX.FS.INPUT_INVALID_FILTER_PREFIX,"Неприпустимий префікс умови ""%0"" для фільтру ""%1"".",Y
APEX.FS.INPUT_MISSING_FILTER_PREFIX,"Відсутній префікс умови для фільтру ""%0"".",Y
APEX.FS.INPUT_OPERATOR,Оператор,Y
APEX.FS.INPUT_OPERATOR.C,містить,Y
APEX.FS.INPUT_OPERATOR.EQ,дорівнює,Y
APEX.FS.INPUT_OPERATOR.GT,більше ніж,Y
APEX.FS.INPUT_OPERATOR.GTE,більше ніж або дорівнює,Y
APEX.FS.INPUT_OPERATOR.LT,менше ніж,Y
APEX.FS.INPUT_OPERATOR.LTE,менше ніж або дорівнює,Y
APEX.FS.INPUT_OPERATOR.NC,не містить,Y
APEX.FS.INPUT_OPERATOR.NEQ,не дорівнює,Y
APEX.FS.INPUT_OPERATOR.NSTARTS,не починається з,Y
APEX.FS.INPUT_OPERATOR.STARTS,починається з,Y
APEX.FS.INPUT_UNSUPPORTED_DATA_TYPE,Фільтр не підтримує тип даних %0 (%1).,Y
APEX.FS.INPUT_UNSUPPORTED_FILTER_FOR_DATA_TYPE,"Умова ""%0"" не підтримується для фільтру ""%1"" (тип даних %2).",Y
APEX.FS.INPUT_VALUE,Значення,Y
APEX.FS.NO_SEARCH_COLUMNS_PROVIDED,Для фільтру %0 не вказано стовпців за якими виконувати пошук,Y
APEX.FS.OPEN_CONFIG,Більше фільтрів,Y
APEX.FS.RANGE_BEGIN,Початок діапазону,Y
APEX.FS.RANGE_CURRENT_LABEL,%0 до %1,Y
APEX.FS.RANGE_CURRENT_LABEL_OPEN_HI,Більше %0,Y
APEX.FS.RANGE_CURRENT_LABEL_OPEN_LO,Менше %0,Y
APEX.FS.RANGE_END,Кінець діапазону,Y
APEX.FS.RANGE_LOV_ITEM_INVALID,"Неприпустимий спливаючий список значень #%2 (""%1"") для фільтру %0 (відсутній роздільник ""|"").",Y
APEX.FS.RANGE_MANUAL_NOT_SUPPORTED,"Через те, що стовпець має тип даних DATE або TIMESTAMP, ручний ввід для фільтру %0 наразі не підтримується.",Y
APEX.FS.RANGE_TEXT,до,Y
APEX.FS.REMOVE_CHART,Видалити діаграму,Y
APEX.FS.RESET,Відновити,Y
APEX.FS.SEARCH_LABEL,Пошук,Y
APEX.FS.SEARCH_PLACEHOLDER,Пошук...,Y
APEX.FS.SELECT_PLACEHOLDER,"	- Виберіть -",Y
APEX.FS.SHOW_CHART,Показати діаграму,Y
APEX.FS.SHOW_LESS,Показати менше,Y
APEX.FS.SHOW_MORE,Показати все,Y
APEX.FS.STAR_RATING_LABEL,%0 зірок і вище,Y
APEX.FS.SUGGESTIONS,Рекомендовані фільтри,Y
APEX.FS.TEXT_FIELD_ONLY_FOR_NUMBER_COLUMNS,Текстове поле для фільтру %0 наразі підтримується лише для стовпців типу NUMBER.,Y
APEX.FS.TOTAL_ROW_COUNT_LABEL,Загальна кількість рядків,Y
APEX.FS.UNSUPPORTED_DATA_TYPE,Фільтр не підтримує тип даних %0 (%1).,Y
APEX.FS.VISUALLY_HIDDEN_HEADING,Візуально прихований заголовок,Y
APEX.GO_TO_ERROR,Перейти до помилки,Y
APEX.GV.AGG_CONTEXT,Підсумок.,Y
APEX.GV.BLANK_HEADING,Пустий заголовок,Y
APEX.GV.BREAK_COLLAPSE,Згорнуть групу,Y
APEX.GV.BREAK_CONTEXT,Розбивка на групи.,Y
APEX.GV.BREAK_EXPAND,Розгорнуть групу,Y
APEX.GV.COLUMN_CONTEXT,Стовпець %0.,Y
APEX.GV.DELETED_COUNT,%0 рядків видалено,Y
APEX.GV.DUP_REC_ID,Повтор ключа,Y
APEX.GV.FIRST_PAGE,Перша,Y
APEX.GV.FOOTER_LANDMARK,Нижній колонтитул таблиці,Y
APEX.GV.GROUP_CONTEXT,Заголовок групи,Y
APEX.GV.HEADER_CONTEXT,Заголовок.,Y
APEX.GV.LAST_PAGE,Остання,Y
APEX.GV.LOAD_MORE,Показати ще,Y
APEX.GV.NEXT_PAGE,Наступна,Y
APEX.GV.PAGE_RANGE,Рядки сторінки,Y
APEX.GV.PAGE_RANGE_ENTITY,Сторінка %0,Y
APEX.GV.PAGE_RANGE_XY,%0 - %1,Y
APEX.GV.PAGE_RANGE_XYZ,%0 - %1 з %2,Y
APEX.GV.PAGE_SELECTION,Виділяти сторінку,Y
APEX.GV.PAGINATION_LANDMARK,Поділ на сторінки,Y
APEX.GV.PREV_PAGE,Попередня,Y
APEX.GV.ROWS_SELECTION,Виділяти рядки,Y
APEX.GV.ROW_ADDED,Додано,Y
APEX.GV.ROW_CHANGED,Змінено,Y
APEX.GV.ROW_COLUMN_CONTEXT,"Рядок %0, стовпець %1.",Y
APEX.GV.ROW_CONTEXT,Рядок %0.,Y
APEX.GV.ROW_DELETED,Видалено,Y
APEX.GV.ROW_HEADER,Заголовок рядка,Y
APEX.GV.ROW_SELECTION,Виділяти рядки,Y
APEX.GV.SELECTION_CELL_COUNT,Вибрано клітинок %0,Y
APEX.GV.SELECTION_COUNT,Вибрано рядків %0,Y
APEX.GV.SELECT_ALL,Вибрати все,Y
APEX.GV.SELECT_ALL_ROWS,Вибрати всі рядки,Y
APEX.GV.SELECT_PAGE_N,Сторінка %0,Y
APEX.GV.SELECT_ROW,Вибрати рядок,Y
APEX.GV.SORTED_ASCENDING,Відсортовано за зростанням %0,Y
APEX.GV.SORTED_DESCENDING,Відсортовано за спаданням %0,Y
APEX.GV.SORT_ASCENDING,Сортувати за зростанням,Y
APEX.GV.SORT_ASCENDING_ORDER,Сортувати за зростанням %0,Y
APEX.GV.SORT_DESCENDING,Сортувати за спаданням,Y
APEX.GV.SORT_DESCENDING_ORDER,Сортувати за спаданням %0,Y
APEX.GV.SORT_OFF,Не сортувати,Y
APEX.GV.STATE_ICONS_LANDMARK,Значки стану,Y
APEX.GV.STATUS_LANDMARK,Стан таблиці,Y
APEX.GV.TOTAL_ENTITY_PLURAL,%0 %1,Y
APEX.GV.TOTAL_ENTITY_SINGULAR,1 %0,Y
APEX.GV.TOTAL_PAGES,Загалом %0,Y
APEX.HTTP.REQUEST_FAILED,"Сталася помилка під час виконання HTTP-запиту до ""%0"".",Y
APEX.ICON_LIST.COLUMN,Стовпець %0,Y
APEX.ICON_LIST.COLUMN_AND_ROW,"Стовпець %0, рядок %1",Y
APEX.ICON_LIST.FIRST_COLUMN,"Вже на першому стовпчику. Стовпець %0, рядок %1",Y
APEX.ICON_LIST.FIRST_ROW,"Вже на першому рядку. Стовпець %0, рядок %1",Y
APEX.ICON_LIST.GRID_DIM,Таблиця з %0 стовпців %1 рядків,Y
APEX.ICON_LIST.LAST_COLUMN,"Вже на останньому стовпчику. Стовпець %0, рядок %1",Y
APEX.ICON_LIST.LAST_ROW,"Вже на останньому рядку. Стовпець %0, рядок %1",Y
APEX.ICON_LIST.LIST_DIM,Таблиця з %0 рядків,Y
APEX.ICON_LIST.ROW,Рядок %0,Y
APEX.IG.ACC_LABEL,Інтерактивна Таблиця %0,Y
APEX.IG.ACTIONS,Дії,Y
APEX.IG.ADD,Додати,Y
APEX.IG.ADD_ROW,Додати рядок,Y
APEX.IG.AGGREGATE,Підсумок,Y
APEX.IG.AGGREGATION,Підсумок,Y
APEX.IG.ALL,Усі,Y
APEX.IG.ALL_TEXT_COLUMNS,Усі текстові стовпці,Y
APEX.IG.ALTERNATIVE,Альтернатива,Y
APEX.IG.AND,і,Y
APEX.IG.APPROX_COUNT_DISTINCT,Наближена кількість унікальних,Y
APEX.IG.APPROX_COUNT_DISTINCT_OVERALL,Загальна наближена кількість унікальних,Y
APEX.IG.AREA,Область,Y
APEX.IG.ASCENDING,За зростанням,Y
APEX.IG.AUTHORIZATION,Авторизація,Y
APEX.IG.AUTO,Автоматичний,Y
APEX.IG.AVG,Середнє значення,Y
APEX.IG.AVG_OVERALL,Загальне середнє значення,Y
APEX.IG.AXIS_LABEL_TITLE,Підпис вісі категорій,Y
APEX.IG.AXIS_VALUE_DECIMAL,Округляти до розряду,Y
APEX.IG.AXIS_VALUE_TITLE,Підпис вісі значень,Y
APEX.IG.BACKGROUND_COLOR,Колір фону,Y
APEX.IG.BAR,Стовпчаста,Y
APEX.IG.BETWEEN,між,Y
APEX.IG.BOTH,Обидва,Y
APEX.IG.BUBBLE,Бульбашкова,Y
APEX.IG.CANCEL,Скасувати,Y
APEX.IG.CASE_SENSITIVE,Враховувати регістр,Y
APEX.IG.CASE_SENSITIVE_WITH_BRACKETS,(Враховувати регістр),Y
APEX.IG.CHANGES_SAVED,Зміни збережено,Y
